Transaction_ID,Customer_ID,Date,Product,Quantity
1,861,2025-09-03,Cheese,3
1,861,2025-09-03,Conditioner,4
1,861,2025-09-03,Salt,2
1,861,2025-09-03,Shampoo,4
2,1295,2025-10-31,Bread,3
2,1295,2025-10-31,Conditioner,2
2,1295,2025-10-31,Milk,2
2,1295,2025-10-31,Rice,3
2,1295,2025-10-31,Salt,4
2,1295,2025-10-31,Shampoo,1
2,1295,2025-10-31,Soft Drinks,1
2,1295,2025-10-31,Sugar,3
3,1131,2025-11-16,Chips,3
3,1131,2025-11-16,Rice,4
3,1131,2025-11-16,Soft Drinks,2
3,1131,2025-11-16,Yogurt,2
4,1096,2025-08-23,Conditioner,4
4,1096,2025-08-23,Eggs,2
4,1096,2025-08-23,Milk,4
4,1096,2025-08-23,Toothpaste,2
5,1639,2025-08-29,Shampoo,3
6,2170,2025-09-16,Biscuits,4
6,2170,2025-09-16,Butter,4
6,2170,2025-09-16,Coffee,2
6,2170,2025-09-16,Milk,4
6,2170,2025-09-16,Salt,1
6,2170,2025-09-16,Shampoo,2
6,2170,2025-09-16,Soft Drinks,1
6,2170,2025-09-16,Wheat Flour,3
7,467,2025-11-05,Biscuits,3
7,467,2025-11-05,Bread,3
7,467,2025-11-05,Cheese,2
7,467,2025-11-05,Coffee,2
7,467,2025-11-05,Rice,4
7,467,2025-11-05,Soap,1
7,467,2025-11-05,Soft Drinks,3
7,467,2025-11-05,Yogurt,2
8,1239,2025-10-27,Biscuits,4
8,1239,2025-10-27,Cheese,4
8,1239,2025-10-27,Chips,1
8,1239,2025-10-27,Rice,3
8,1239,2025-10-27,Soft Drinks,4
8,1239,2025-10-27,Tea,3
9,331,2025-10-05,Chips,3
9,331,2025-10-05,Coffee,4
9,331,2025-10-05,Eggs,2
9,331,2025-10-05,Milk,1
9,331,2025-10-05,Salt,3
9,331,2025-10-05,Soap,2
10,1483,2025-09-02,Bread,1
10,1483,2025-09-02,Butter,4
10,1483,2025-09-02,Chips,2
10,1483,2025-09-02,Eggs,4
10,1483,2025-09-02,Shampoo,3
10,1483,2025-09-02,Soft Drinks,3
10,1483,2025-09-02,Yogurt,4
11,2136,2025-11-10,Biscuits,4
11,2136,2025-11-10,Cheese,2
11,2136,2025-11-10,Eggs,1
11,2136,2025-11-10,Salt,3
11,2136,2025-11-10,Shampoo,2
11,2136,2025-11-10,Sugar,2
12,2920,2025-09-21,Butter,2
12,2920,2025-09-21,Conditioner,2
12,2920,2025-09-21,Rice,1
12,2920,2025-09-21,Salt,2
12,2920,2025-09-21,Toothpaste,1
12,2920,2025-09-21,Yogurt,3
13,131,2025-10-17,Butter,4
14,1686,2025-10-19,Eggs,2
14,1686,2025-10-19,Salt,2
14,1686,2025-10-19,Yogurt,4
15,770,2025-08-20,Salt,4
15,770,2025-08-20,Soap,1
16,2392,2025-11-06,Biscuits,4
16,2392,2025-11-06,Cheese,2
16,2392,2025-11-06,Eggs,1
16,2392,2025-11-06,Yogurt,1
17,1516,2025-09-06,Biscuits,4
18,2854,2025-10-06,Coffee,2
18,2854,2025-10-06,Conditioner,2
18,2854,2025-10-06,Milk,2
18,2854,2025-10-06,Yogurt,1
19,2434,2025-11-04,Cheese,3
19,2434,2025-11-04,Chips,1
19,2434,2025-11-04,Conditioner,4
19,2434,2025-11-04,Eggs,4
19,2434,2025-11-04,Shampoo,4
19,2434,2025-11-04,Soap,1
19,2434,2025-11-04,Soft Drinks,2
19,2434,2025-11-04,Toothpaste,1
20,1216,2025-11-14,Butter,1
20,1216,2025-11-14,Coffee,1
20,1216,2025-11-14,Juice,2
20,1216,2025-11-14,Rice,1
20,1216,2025-11-14,Sugar,3
20,1216,2025-11-14,Tea,3
20,1216,2025-11-14,Toothpaste,1
20,1216,2025-11-14,Wheat Flour,2
21,956,2025-09-15,Coffee,4
21,956,2025-09-15,Conditioner,4
21,956,2025-09-15,Milk,1
22,2325,2025-10-05,Bread,4
22,2325,2025-10-05,Butter,2
22,2325,2025-10-05,Cheese,1
22,2325,2025-10-05,Coffee,2
22,2325,2025-10-05,Conditioner,2
22,2325,2025-10-05,Rice,3
22,2325,2025-10-05,Salt,4
22,2325,2025-10-05,Soap,1
23,1185,2025-09-24,Biscuits,1
23,1185,2025-09-24,Bread,4
23,1185,2025-09-24,Butter,2
23,1185,2025-09-24,Coffee,3
23,1185,2025-09-24,Rice,4
23,1185,2025-09-24,Soap,1
23,1185,2025-09-24,Sugar,1
23,1185,2025-09-24,Toothpaste,1
24,460,2025-10-31,Coffee,1
24,460,2025-10-31,Rice,1
24,460,2025-10-31,Sugar,2
24,460,2025-10-31,Toothpaste,1
25,22,2025-10-06,Coffee,2
25,22,2025-10-06,Conditioner,2
25,22,2025-10-06,Juice,1
25,22,2025-10-06,Rice,3
25,22,2025-10-06,Shampoo,3
25,22,2025-10-06,Sugar,1
25,22,2025-10-06,Tea,1
26,2301,2025-10-05,Salt,1
26,2301,2025-10-05,Wheat Flour,2
27,748,2025-10-30,Biscuits,2
27,748,2025-10-30,Cheese,3
27,748,2025-10-30,Salt,1
27,748,2025-10-30,Soap,3
27,748,2025-10-30,Soft Drinks,2
27,748,2025-10-30,Toothpaste,4
27,748,2025-10-30,Wheat Flour,3
28,2905,2025-11-14,Coffee,1
28,2905,2025-11-14,Eggs,3
28,2905,2025-11-14,Milk,3
28,2905,2025-11-14,Rice,4
28,2905,2025-11-14,Soft Drinks,4
28,2905,2025-11-14,Sugar,1
28,2905,2025-11-14,Tea,2
28,2905,2025-11-14,Yogurt,2
29,475,2025-09-16,Bread,2
29,475,2025-09-16,Butter,3
29,475,2025-09-16,Chips,3
29,475,2025-09-16,Juice,4
29,475,2025-09-16,Milk,3
29,475,2025-09-16,Sugar,4
29,475,2025-09-16,Toothpaste,4
29,475,2025-09-16,Yogurt,2
30,1083,2025-10-17,Biscuits,1
30,1083,2025-10-17,Chips,2
30,1083,2025-10-17,Shampoo,4
30,1083,2025-10-17,Soft Drinks,3
31,2559,2025-09-16,Bread,4
31,2559,2025-09-16,Butter,4
31,2559,2025-09-16,Chips,2
31,2559,2025-09-16,Soft Drinks,2
31,2559,2025-09-16,Sugar,3
32,2048,2025-10-15,Butter,4
32,2048,2025-10-15,Cheese,3
32,2048,2025-10-15,Chips,2
32,2048,2025-10-15,Conditioner,3
32,2048,2025-10-15,Rice,3
32,2048,2025-10-15,Soft Drinks,4
33,2748,2025-10-05,Milk,1
33,2748,2025-10-05,Yogurt,4
34,976,2025-09-10,Biscuits,1
34,976,2025-09-10,Bread,2
34,976,2025-09-10,Butter,1
34,976,2025-09-10,Eggs,2
34,976,2025-09-10,Rice,3
34,976,2025-09-10,Salt,2
34,976,2025-09-10,Soap,1
34,976,2025-09-10,Soft Drinks,4
35,1807,2025-09-14,Bread,1
35,1807,2025-09-14,Butter,4
35,1807,2025-09-14,Conditioner,2
35,1807,2025-09-14,Soft Drinks,2
36,190,2025-08-25,Cheese,2
36,190,2025-08-25,Conditioner,4
36,190,2025-08-25,Eggs,2
36,190,2025-08-25,Salt,1
36,190,2025-08-25,Soap,1
36,190,2025-08-25,Toothpaste,2
36,190,2025-08-25,Wheat Flour,4
36,190,2025-08-25,Yogurt,1
37,2735,2025-10-06,Biscuits,4
37,2735,2025-10-06,Bread,4
37,2735,2025-10-06,Butter,4
37,2735,2025-10-06,Cheese,1
37,2735,2025-10-06,Soft Drinks,4
37,2735,2025-10-06,Tea,2
37,2735,2025-10-06,Wheat Flour,4
37,2735,2025-10-06,Yogurt,2
38,563,2025-10-11,Butter,3
38,563,2025-10-11,Conditioner,3
38,563,2025-10-11,Shampoo,2
38,563,2025-10-11,Soap,1
38,563,2025-10-11,Soft Drinks,1
38,563,2025-10-11,Tea,2
38,563,2025-10-11,Wheat Flour,3
38,563,2025-10-11,Yogurt,2
39,1900,2025-10-25,Cheese,1
39,1900,2025-10-25,Chips,4
39,1900,2025-10-25,Conditioner,3
39,1900,2025-10-25,Eggs,2
39,1900,2025-10-25,Shampoo,3
39,1900,2025-10-25,Soft Drinks,4
39,1900,2025-10-25,Toothpaste,4
39,1900,2025-10-25,Wheat Flour,2
39,1900,2025-10-25,Yogurt,1
40,1268,2025-11-04,Bread,4
40,1268,2025-11-04,Butter,4
40,1268,2025-11-04,Rice,3
40,1268,2025-11-04,Toothpaste,4
41,2880,2025-09-29,Biscuits,3
41,2880,2025-09-29,Bread,1
41,2880,2025-09-29,Soft Drinks,4
41,2880,2025-09-29,Tea,1
41,2880,2025-09-29,Wheat Flour,3
42,1529,2025-10-31,Butter,3
43,647,2025-10-16,Biscuits,2
43,647,2025-10-16,Bread,1
43,647,2025-10-16,Butter,3
43,647,2025-10-16,Chips,4
43,647,2025-10-16,Juice,3
43,647,2025-10-16,Rice,2
43,647,2025-10-16,Salt,3
43,647,2025-10-16,Tea,4
43,647,2025-10-16,Toothpaste,4
43,647,2025-10-16,Wheat Flour,1
44,2069,2025-10-01,Bread,3
44,2069,2025-10-01,Butter,4
44,2069,2025-10-01,Conditioner,2
44,2069,2025-10-01,Eggs,3
44,2069,2025-10-01,Salt,3
44,2069,2025-10-01,Sugar,2
45,2889,2025-09-13,Cheese,1
45,2889,2025-09-13,Chips,4
45,2889,2025-09-13,Rice,1
45,2889,2025-09-13,Soft Drinks,1
45,2889,2025-09-13,Tea,4
45,2889,2025-09-13,Wheat Flour,4
46,2215,2025-09-10,Biscuits,2
46,2215,2025-09-10,Cheese,3
46,2215,2025-09-10,Chips,2
46,2215,2025-09-10,Milk,2
46,2215,2025-09-10,Soap,1
46,2215,2025-09-10,Sugar,1
46,2215,2025-09-10,Toothpaste,4
46,2215,2025-09-10,Yogurt,3
47,1298,2025-10-30,Biscuits,3
47,1298,2025-10-30,Milk,1
47,1298,2025-10-30,Yogurt,4
48,2436,2025-08-26,Biscuits,1
48,2436,2025-08-26,Chips,4
48,2436,2025-08-26,Milk,3
48,2436,2025-08-26,Yogurt,3
49,601,2025-10-10,Biscuits,1
49,601,2025-10-10,Cheese,1
49,601,2025-10-10,Conditioner,3
49,601,2025-10-10,Rice,3
49,601,2025-10-10,Shampoo,4
49,601,2025-10-10,Toothpaste,1
50,2364,2025-09-01,Eggs,4
50,2364,2025-09-01,Juice,3
50,2364,2025-09-01,Milk,4
50,2364,2025-09-01,Rice,3
51,2062,2025-10-28,Bread,2
51,2062,2025-10-28,Juice,2
51,2062,2025-10-28,Milk,4
52,242,2025-08-25,Butter,1
52,242,2025-08-25,Eggs,2
52,242,2025-08-25,Salt,2
53,2042,2025-08-27,Cheese,3
53,2042,2025-08-27,Chips,4
53,2042,2025-08-27,Yogurt,3
54,2825,2025-08-21,Biscuits,4
54,2825,2025-08-21,Butter,1
54,2825,2025-08-21,Coffee,3
54,2825,2025-08-21,Conditioner,1
54,2825,2025-08-21,Eggs,1
54,2825,2025-08-21,Juice,2
54,2825,2025-08-21,Rice,2
54,2825,2025-08-21,Soap,3
55,2613,2025-11-04,Butter,3
55,2613,2025-11-04,Cheese,1
55,2613,2025-11-04,Chips,2
55,2613,2025-11-04,Coffee,1
55,2613,2025-11-04,Rice,2
55,2613,2025-11-04,Sugar,3
55,2613,2025-11-04,Tea,4
55,2613,2025-11-04,Wheat Flour,2
56,2946,2025-09-04,Coffee,1
56,2946,2025-09-04,Juice,4
56,2946,2025-09-04,Soap,1
56,2946,2025-09-04,Toothpaste,4
56,2946,2025-09-04,Wheat Flour,1
57,1364,2025-10-01,Bread,4
57,1364,2025-10-01,Cheese,2
57,1364,2025-10-01,Conditioner,4
57,1364,2025-10-01,Shampoo,4
57,1364,2025-10-01,Soap,3
57,1364,2025-10-01,Soft Drinks,3
57,1364,2025-10-01,Toothpaste,1
58,2140,2025-11-12,Conditioner,4
58,2140,2025-11-12,Eggs,4
58,2140,2025-11-12,Shampoo,4
58,2140,2025-11-12,Soft Drinks,1
58,2140,2025-11-12,Wheat Flour,4
58,2140,2025-11-12,Yogurt,4
59,1391,2025-10-03,Conditioner,1
60,1479,2025-11-16,Toothpaste,1
61,2557,2025-10-15,Bread,3
61,2557,2025-10-15,Conditioner,1
61,2557,2025-10-15,Eggs,3
61,2557,2025-10-15,Milk,3
61,2557,2025-10-15,Soap,4
61,2557,2025-10-15,Soft Drinks,3
62,776,2025-09-15,Wheat Flour,1
63,35,2025-09-01,Biscuits,4
63,35,2025-09-01,Milk,4
64,2254,2025-08-27,Butter,1
64,2254,2025-08-27,Conditioner,1
64,2254,2025-08-27,Eggs,2
64,2254,2025-08-27,Juice,4
64,2254,2025-08-27,Rice,3
64,2254,2025-08-27,Shampoo,4
64,2254,2025-08-27,Wheat Flour,1
65,1956,2025-09-13,Butter,2
65,1956,2025-09-13,Cheese,4
65,1956,2025-09-13,Coffee,3
65,1956,2025-09-13,Milk,2
65,1956,2025-09-13,Salt,3
65,1956,2025-09-13,Soap,3
65,1956,2025-09-13,Soft Drinks,4
65,1956,2025-09-13,Wheat Flour,2
66,1586,2025-08-20,Biscuits,2
66,1586,2025-08-20,Conditioner,1
66,1586,2025-08-20,Milk,4
66,1586,2025-08-20,Salt,3
66,1586,2025-08-20,Shampoo,1
66,1586,2025-08-20,Soap,4
66,1586,2025-08-20,Sugar,3
66,1586,2025-08-20,Tea,2
